Sno,Generic/Quantity,Package Unit,Price(in Rs.)
1288,Ciprofloxacin   0.50% Fluocinolone Acetonide   0.1% Clotrimazole   1% ,15 gm,7.46
1289,Ciprofloxacin   0.3% w/vDexamethasone   0.1% w/v,10 ml,9.9
1290,Ciprofloxacin   0.5% w/wClotrimazole   1% w/wFluocinolone   0.025% w/w,20 gm,11.19
1291,Ciprofloxacin   0.5% w/wFluocinolone Acetonide   0.025% w/wClotrimazole   1% w/w,10 gm,7.34
1292,Cloxacillin   125 mgAmoxycillin   125 mgLactic Acid Bacillus   60 million spores,10 Tablet,10.92
1293,Cloxacillin   250 mgAmoxycillin   250 mgLactic Acid Bacillus   60 million spores,10 Capsule,20.06
1294,Cloxacillin   125 mgAmpicillin   125 mgLactic Acid Bacillus   60 million spores,10 Tablet,14.44
1295,Cloxacillin   250 mgAmpicillin   250 mgLactic Acid Bacillus   60 million spores,10 Capsule,24.86
1296,Cloxacillin   125 mgAmpicillin   125 mgLactic Acid Bacillus   30 million,10 Tablet,9.9
1297,Cloxacillin   250 mgAmoxycillin   250 mgLactic Acid Bacillus   100 million spores,10 Capsule,18.36
1298,Cloxacillin   250 mgAmoxycillin   250 mgLactic Acid Bacillus   120 million spores,10 Capsule,18.66
1299,Cloxacillin   250 mgAmoxycillin   250 mgLactic Acid Bacillus   80 million spores,6 Capsule,12.12
1300,Cloxacillin Sodium   500 mgCefixime   200 mgLactic Acid Bacillus   90 million spores,10 Tablet,110.08
1301,Amoxycillin   250 mgCloxacillin Sodium   250 mgSerratiopeptidase   10 mg,10 Capsule,24.52
1302,Cloxacillin   250 mgAmoxycillin   250 mgLactic Acid Bacillus   60 million spores,15 Tablet,35.18
1303,Dexamethasone Sodium Phosphate   4 mgMethyl Paraben   0.15% w/vPropyl Paraben   0.02% w/v,2 ml,8.32
1304,Salbutamol   1 mgAmbroxol   15 mgGuaiphenesin   50 mg,100 ml,13.54
1305,Salbutamol   1 mgAmbroxol   30 mgGuaiphenesin   50 mg,100 ml,15.7
1306,Salbutamol   2 mgAmbroxol   30 mgGuaiphenesin   50 mg,100 ml,15.3
1307,Salbutamol   2 mgGuaiphenesin   100 mg,100 ml,9.7
1308,Salbutamol   2 mgAmbroxol   15 mgGuaiphenesin   100 mg,10 Tablet,3.04
1309,Salbutamol   2 mgAmbroxol   30 mgTheophylline   100 mg,10 Tablet,3.68
1310,Salbutamol   2 mgAmbroxol   15 mgGuaiphenesin   100 mg,10 Tablet,3.04
1311,Salbutamol   2 mgAmbroxol   30 mgTheophylline   100 mg,10 Tablet,3.68
1312,Salbutamol   2 mgBromhexine   8 mgGuaiphenesin   100 mg,10 Tablet,2.4
1313,Dexamethasone Sodium Phosphate   1 mgChloramphenicol   5 mgPolymyxin B Sulphate   5000 iu,5 ml,10.97
1314,Salbutamol   2 mgBromhexine   8 mgEtophylline   200 mg,10 Tablet,3.96
1315,Salbutamol   4 mgBromhexine   16 mgEtophylline   200 mg,10 Tablet,4.3
1316,Dexamethasone   0.1% w/wFramycetin Sulphate   1% w/wClotrimazole   1% w/w,15 gm,17.44
1317,Dexamethasone Sodium Phosphate   1 mgChloramphenicol   10 mgPolymyxin B Sulphate   5000 iu,5 gm,6.79
1318,Dexamethasone Sodium Phosphate   1 mgChloramphenicol   10 mgPolymyxin B Sulphate   10000 iu,5 gm,9.69
1319,Dexamethasone Sodium Phosphate   0.1% Chloramphenicol   0.5% Atropine Sulphate   1% ,5 ml,8.5
1320,Dexamethasone Sodium Phosphate   1 mgChloramphenicol   10 mgPolymyxin B Sulphate   5000 iu,5 ml,9.5
1321,Dexamethasone Sodium Phosphate   0.05% w/vOfloxacin   0.3% w/vPhenyl Mercuric Nitrate   0.001% w/v,10 ml,9.4
1322,Boric Acid   1.2% w/vDexamethasone Sodium Phosphate   0.11% w/vNeomycin   0.5% w/v,5 ml,7.92
1323,Rifampicin   450 mgIsoniazid   300 mgPyridoxine   10 mg,10 Tablet,40.88
1324,Rifampicin   450 mgIsoniazid   225 mgEthambutol   825 mg,1.783 gm,12.55
1325,Dextropropoxyphene   32.5 mgAcetaminophen   250 mgDiclofenac Sodium   50 mg,8 Capsule,6.87
1326,Dextropropoxyphene   65 mgDicyclomine (Dicycloverine)   10 mgAcetaminophen   400 mg,8 Capsule,10.12
1327,Dextropropoxyphene   65 mgDicyclomine (Dicycloverine)   10 mgParacetamol   400 mg,10 Tablet,11.89
1328,Dextropropoxyphene   32.5 mgParacetamol   325 mgDiclofenac Sodium   50 mg,10 Tablet,5.99
1329,Dextropropoxyphene   33 mgDicyclomine Hydrochloride   10 mgParacetamol   300 mg,6 Capsule,5.09
1330,Dextropropoxyphene   65 mgDicyclomine Hydrochloride   10 mgParacetamol   500 mg,10 Tablet,8.7
1331,Rifampicin   450 mgIsoniazid   300 mgPyrazinamide   750 mg,1 Kit,6.52
1332,Rifampicin   450 mgIsoniazid   300 mgEthambutol   800 mg,1 Kit,8.62
1333,Rifampicin   450 mgIsoniazid   300 mgPyrazinamide   1500 mg,1 Kit,7.18
1334,Rifampicin   200 mgIsoniazid   150 mgPyridoxine   5 mg,10 Tablet,23.2
1335,Doxycycline   100 mgTinidazole   600 mgLactic Acid Bacillus   60 million spores,10 Tablet,12.94
1336,Erythromycin   4% w/wTretinoin   0.025% w/wAbsolute Alcohol   91.5% w/w,25 ml,10.26
1337,Ephedrine   50 mgTheophylline   65 mgPhenobarbitone   30 mg,10 Tablet,4.26
1338,Ephedrine   20 mgTheophylline   100 mgPhenobarbitone   15 mg,10 Tablet,3.08
1339,Ephedrine   48 mgTheophylline   198 mgPhenobarbitone   25 mg,10 Tablet,6.2
1340,Ephedrine   25 mgTheophylline   130 mgHydroxyzine   10 mg,20 Capsule,16.26
1341,Pseudoephedrine   60 mgChlorpheniramine Maleate   4 mgAcetaminophen   500 mg,8 Tablet,4.58
1342,Pseudoephedrine   60 mgDextromethorphan   10 mgCetirizine   5 mg,100 ml,21.51
1343,Ephedrine   10 mgTheophylline   100 mgPhenobarbitone   10 mg,100 Tablet,26.12
1344,Ephedrine   15 mgTheophylline   100 mgPhenobarbitone   10 mg,10 Tablet,2.88
1345,Pseudoephedrine   30 mgParacetamol   125 mgChlorpheniramine Maleate   2 mg,60 ml,10.24
1346,Ephedrine   10 mgChlorpheniramine Maleate   4 mgNoscapine   10 mg,10 Tablet,1.76
1347,Pseudoephedrine   30 mgChlorpheniramine Maleate   4 mgParacetamol   500 mg,10 Tablet,4.3
1348,Pseudoephedrine   15 mgChlorpheniramine Maleate   1 mgParacetamol   125 mg,60 ml,13.56
1349,Rifampicin   600 mgIsoniazid   300 mgPyridoxine   10 mg,5 Tablet,20.24
1350,Rifampicin   450 mgIsoniazid   300 mgEthambutol   800 mg,6 Tablet,49.14
1351,Rifampicin   450 mgIsoniazid   300 mgPyridoxine   10 mg,10 Tablet,45.04
1352,Rifampicin   100 mgIsoniazid   100 mgVit B6   5 mg,10 Tablet,13.23
1353,Rifampicin   150 mgIsoniazid IP   75 mgEthambutol Hcl IP   275 mg,6 Tablet,29.88
1354,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgMenthol   1 mg,60 ml,11.18
1355,Pseudoephedrine   15 mgParacetamol   125 mgCetirizine   2 mg,60 ml,13.56
1356,Rifampicin   225 mgIsoniazid   150 mgPyrazinamide   750 mg,10 Tablet,43.37
1357,Rifampicin   225 mgIsoniazid   150 mgPyrazinamide   500 mg,10 Tablet,29.64
1358,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   500 mg,10 Tablet,30.66
1359,Theophylline   125 mgEphedrine   20 mgBromhexine   8 mg,10 Tablet,3.3
1360,Pseudoephedrine   15 mgParacetamol   125 mgCetirizine   2 mg,50 ml,11.38
1361,Pseudoephedrine   15 mgParacetamol   125 mgCetirizine   2 mg,100 ml,17.72
1362,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   350 mg,10 Tablet,19.86
1363,Rifampicin   150 mgIsoniazid IP   75 mgPyrazinamide   400 mg,6 Tablet,12.7
1364,Rifampicin   120 mgIsoniazid   80 mgPyrazinamide   250 mg,10 Tablet,16.18
1365,Rifampicin   100 mgIsoniazid   50 mgPyrazinamide   300 mg,10 Tablet,21.16
1366,Rifampicin   60 mgIsoniazid IP   30 mgPyrazinamide   150 mg,6 Tablet,7.63
1367,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   500 mg,4 Capsule,11.1
1368,Ranitidine   150 mgMagaldrate   200 mgDomperidone   10 mg,10 Tablet,5.56
1369,Ranitidine   150 mgDicyclomine (Dicycloverine)   10 mgSimethicone   25 mg,10 Tablet,3.58
1370,Etophylline   200 mgSalbutamol   4 mgBromhexine   8 mg,10 Tablet,4.62
1371,Etophylline   100 mgTerbutaline Sulphate   2.5 mgBromhexine   4 mg,10 Tablet,3.65
1372,Etophylline   50 mgSalbutamol   1 mgBromhexine   4 mg,100 ml,15.1
1373,Famotidine   20 mgIbuprofen   400 mgParacetamol   325 mg,10 Tablet,8.49
1374,Framycetin Sulphate   1% w/wMethyl Paraben   0.08% w/wPropyl Paraben   0.04% w/w,20 gm,14.94
1375,Frusemide (Furosemide)   20 mgPotassium Chloride   300 mg,10 Tablet,2.38
1376,Furazolidone   50 mgDiphenoxylate   2.5 mgAtropine   0.025 mg,10 Tablet,2.08
1377,Furazolidone   50 mgMetronidazole   200 mgDicyclomine (Dicycloverine)   10 mg,10 Capsule,6.66
1378,Furazolidone   33 mgMetronidazole   100 mgSimethicone   25 mg,60 ml,12.36
1379,Ranitidine   150 mgDomperidone   10 mgMagaldrate   400 mg,10 Tablet,5.9
1380,Prednisolone   1% w/vBenzalkonium ChIoride   0.02% w/vMethyl Cellulose   0.2% w/v,5 ml,14.74
1381,Prednisolone   1% Ofloxacin   0.3% Benzalkonium ChIoride   0.05% ,5 ml,10.55
1382,Prednisolone   1% w/vGatifloxacin   0.3% w/vBenzalkonium Chloride   0.01% w/v,5 ml,12.84
1383,Chlorpheniramine Maleate   1 mgPseudoephedrine   15 mgParacetamol   125 mg,60 ml,13.56
1384,Pheniramine Maleate   15 mgAmmonium Chloride   125 mgMenthol   1.14 mg,100 ml,10.86
1385,Pheniramine Maleate   15 mgAmmonium Chloride   125 mgMenthol   1.14 mg,400 ml,29.89
1386,Norfloxacin   100 mgMetronidazole   100 mgSimethicone   10 mg,30 ml,9.04
1387,Norfloxacin   400 mgTinidazole   600 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,14.32
1388,Norfloxacin   100 mgMetronidazole   100 mgLacto Bacillus Sporegens   60 million spores,10 Tablet,4.48
1389,Furazolidone   50 mgMetronidazole   200 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,4.74
1390,Nalidixic Acid   150 mgMetronidazole   100 mg,10 Tablet,8.96
1391,Gentamicin   0.1% w/wClobetasol Propionate   0.05% w/wZinc Sulphate   2.5% w/w,15 gm,8.94
1392,Gentamicin Sulphate   0.1% w/wClotrimazole   1% w/wBeclomethasone   0.025% w/w,5 gm,5.12
1393,Metronidazole   100 mgClotrimazole   100 mgClindamycin Phosphate   100 mg,10 Pessary,22.24
1394,Gentamicin Sulphate   0.1% w/wBeclomethasone   0.025% w/wClotrimazole   1% w/w,15 gm,9.44
1395,Gentamicin   0.1% w/wBetamethasone   0.025% w/wEconazole Nitrate   1% w/w,10 gm,6.76
1396,Gentamicin Sulphate   0.1% w/wBeclomethasone   0.025% w/wClotrimazole   1% w/w,10 gm,7.71
1397,Gentamicin   0.1% w/wBetamethasone   0.05% w/wClotrimazole   1% w/w,16 gm,9.66
1398,Metronidazole   200 mgFurazolidone   50 mgDicyclomine (Dicycloverine)   20 mg,10 Tablet,4.48
1399,Metronidazole   200 mgDiloxanide Furoate   250 mgPolydimethyl Siloxane   25 mg,10 Tablet,6.42
1400,Metronidazole   200 mgFurazolidone   50 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,4.74
1401,Metronidazole   100 mgFurazolidone   33 mgSimethicone   25 mg,60 ml,12.36
1402,Miconazole   2% w/wGentamicin   0.2% w/wClobetasol   0.05% w/w,10 gm,6.56
1403,Gentamicin   0.3% w/wDexamethasone   0.1% w/wBenzalkonium Chloride   0.02% w/w,5 ml,10.91
1404,Ibuprofen   100 mgParacetamol   125 mg,10 Tablet,2.98
1405,Ibuprofen   100 mgParacetamol   125 mg,500 ml,41.14
1406,Ibuprofen   400 mgParacetamol   325 mgChlorzoxazone   250 mg,10 Tablet,7.4
1407,Ibuprofen   400 mgParacetamol   300 mgChlorzoxazone   250 mg,10 Tablet,7.36
1408,Ibuprofen   400 mgParacetamol   325 mgMagnesium Trisilicate   150 mg,10 Tablet,6.12
1409,Metronidazole   500 mgClotrimazole   100 mgLactic Acid Bacillus   150 million,10 Tablet,8.08
1410,Metronidazole   400 mgDiloxanide Furoate   500 mgDimethicone   50 mg,15 Tablet,16.52
1411,Metronidazole   400 mgDiloxanide Furoate   500 mgActivated Dimethyl Polysiloxane   25 mg,4 Tablet,4.48
1412,Metronidazole   400 mgDiloxanide Furoate   500 mgSimethicone   100 mg,10 Tablet,11.26
1413,Metronidazole   200 mgDicyclomine (Dicycloverine)   10 mgFurazolidone   50 mg,10 Capsule,6.66
1414,Vit E   67 mgAcetylcysteine   100 mg,30 Capsule,31.34
1415,Vit E   134 mgDocosahexaenoic Acid   60 mgEicosopentaenoic Acid (EPA)   90 mg,10 Capsule,16.12
1416,Vit A   10000 iuVit D3   1000 iuThiamine   10 mg,10 Tablet,2.54
1417,Vit B1   1000 iuVit B6   50 mgVit B12   1000 mcg,5 ml,5.9
1418,Vit B1   1000 iuVit B6   50 mgVit B12   1000 mcg,5 ml,5.9
1419,Streptomycin Sulphate   5 gmProcaine Pencillin   3000000 unitsPenicillin G Sodium   1000000 units,30 ml,42.14
1420,Streptomycin Sulphate   2.5 gmProcaine Pencillin   1500000 unitsPenicillin G Sodium   500000 units,20 ml,24.22
1421,Metronidazole   300 mgFurazolidone   100 mgSimethicone   25 mg,10 Tablet,6.37
1422,Vit E   200 iuEicosopentaenoic Acid (EPA)   90 mgDocosahexaenoic Acid   60 mg,10 Capsule,14.14
1423,Vit E   25 mgVit C   50 mgGlucosamine Sulphate Sodium   750 mg,10 Capsule,17.28
1424,Squalane   3% w/wVit E   1% w/wAloe Vera   5% w/w,25 gm,11.86
1425,Vit E   400 mgCod Liver Oil   300 mg,10 Tablet,12.31
1426,Vit A   50000 iuVit E   25 iuVit C   75 mg,10 Tablet,9.63
1427,Theophylline   200 mgSalbutamol   4 mgAmbroxol   60 mg,10 Tablet,6.12
1428,Theophylline   50 mgEphedrine   15 mgSodium Iodide   25 mg,200 ml,27.52
1429,Theophylline   100 mgEphedrine Hcl   15 mgPhenobarbitone   10 mg,10 Tablet,2.88
1430,Theophylline   100 mgEphedrine Hcl   10 mgPhenobarbitone   10 mg,100 ml,26.24
1431,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   1% w/w,25 gm,10.42
1432,Streptomycin Sulphate   0.25  gmProcaine Pencillin   300000 unitsPenicillin G Sodium   100000 units,5 ml,6.06
1433,Streptomycin Sulphate   0.5 gmProcaine Pencillin   300000 unitsPenicillin G Sodium   100000 units,5 ml,7.74
1434,Salbutamol   1 mgAmbroxol   15 mgBromhexine   2 mg,30 ml,7.4
1435,Salbutamol   1 mgAmbroxol   30 mgGuaiphenesin   25 mg,100 ml,14.8
1436,Salbutamol   1 mgEtophylline   50 mgGuaiacolate   50 mg,100 ml,13.1
1437,Salbutamol   1 mgBromhexine   2 mgGuaiphenesin   25 mg,60 ml,8.6
1438,Salbutamol   2 mgGuaiphenesin   100 mgEtophylline   100 mg,10 Tablet,3.26
1439,Salbutamol   4 mgAmbroxol   60 mgTheophylline   200 mg,10 Tablet,7.06
1440,Salbutamol   4 mgBromhexine   8 mgGuaiphenesin   30 mg,10 Tablet,2.2
1441,Salbutamol   4 mgBromhexine   8 mgEtophylline   200 mg,10 Tablet,4.22
1442,Salbutamol   2 mgBromhexine   8 mgEtophylline   200 mg,10 Tablet,3.44
1443,Salbutamol   2 mgBromhexine   8 mgEtophylline   100 mg,10 Tablet,2.64
1444,Rifampicin   100 mgIsoniazid   50 mgPyrazinamide   250 mg,10 Tablet,17.88
1445,Rifampicin   450 mgIsoniazid   300 mgEthambutol   800 mg,1 Kit,8.04
1446,Rifampicin   60 mgIsoniazid   30 mgPyrazinamide   100 mg,10 Tablet,8.3
1447,Rifampicin   150 mgIsoniazid   100 mgEthambutol   275 mg,6 Tablet,15.96
1448,Rifampicin   450 mgIsoniazid   225 mgPyrazinamide   825 mg,10 Tablet,59.29
1449,Rifampicin   150 mgIsoniazid   150 mgPyrazinamide   500 mg,6 Tablet,16.23
1450,Rifampicin   100 mgIsoniazid   100 mgPyrazinamide   300 mg,10 Tablet,17.09
1451,Rifampicin   60 mgIsoniazid   30 mgPyrazinamide   100 mg,10 Tablet,8.85
1452,Ranitidine   25 mgDicyclomine (Dicycloverine)   10 mgPhenol   0.50% ,2 ml,3.32
1453,Ranitidine   150 mgDicyclomine (Dicycloverine)   10 mgClidinium Bromide   2.5 mg,10 Tablet,5.32
1454,Prednisolone   10 mgOfloxacin   3 mgBenzalkonium Chloride   0.01% w/v,5 ml,10.55
1455,Prednisolone   10 mgLevofloxacin   15 mgBenzalkonium Chloride   0.01% w/v,5 ml,13.17
1456,Prednisolone   1% Benzalkonium Chloride   0.01% Edetate Disodium   0.01% ,10 ml,95.18
1457,Chlorpheniramine Maleate   1 mgPseudoephedrine   30 mgParacetamol   125 mg,50 ml,10.22
1458,Chlorpheniramine Maleate   2 mgPseudoephedrine   80 mgBromhexine   4 mg,50 ml,12.04
1459,Chlorpheniramine Maleate   2 mgPseudoephedrine   30 mgMenthol   1 mg,50 ml,10.41
1460,Streptomycin Sulphate   5 gmProcaine Pencillin   3000000 unitsPenicillin G Sodium   1000000 units,30 ml,34.04
1461,Procaine Pencillin   1500000 iuPenicillin G Sodium   500000 iuStreptomycin Sulphate   2.5 gm,20 ml,20.5
1462,Streptomycin Sulphate   1000 mgProcaine Pencillin   300000 iuPenicillin G Sodium   100000 iu,1 Vial,10.48
1463,Norfloxacin   400 mgTinidazole   200 mgLacto Bacillus Sporegens   120  million spores,10 Tablet,11.86
1464,Norfloxacin   200 mgTinidazole   300 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,7.98
1465,Metronidazole   1% w/wSilver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/w,10 gm,6.87
1466,Metronidazole   1% w/wPovidone Iodine   5% w/wSucralfate   7% w/w,10 gm,6.93
1467,Metronidazole   120 mgNorfloxacin   125 mgSimethicone   10 mg,30 ml,11.38
1468,Metronidazole   300 mgFurazolidone   100 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,66.19
1469,Metronidazole   100 mgFurazolidone   30 mgDimethicone   20 mg,50 ml,12.02
1470,Metronidazole   100 mgFurazolidone   30 mgSimethicone   20 mg,60 ml,10.18
1471,Metronidazole   100 mgDiloxanide Furoate   125 mgSimethicone   50 mg,60 ml,12.6
1472,Metronidazole   400 mgDiloxanide Furoate   500 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,14.35
1473,Levodopa   150 mgCarbidopa   37.5 mgEntacapone   200 mg,10 Tablet,60.64
1474,Levodopa   100 mgCarbidopa   25 mgEntacapone   200 mg,10 Tablet,53.14
1475,Levodopa   50 mgCarbidopa   12.5 mgEntacapone   200 mg,10 Tablet,46.06
1476,Iodochlorohydroxyquinoline   2% w/wBetamethasone   0.1% w/wGentamicin   0.2% w/w,10 gm,9.05
1477,Iodochlorohydroxyquinoline   3% w/wBetamethasone   0.12% w/wGentamicin   0.1% w/w,15 gm,14.23
1478,Aspirin   350 mgCalcium Carbonate   105 mgAnhydrous Citric Acid   35 mg,10 Tablet,2.34
1479,Aspirin   10 mgFrusemide (Furosemide)   20 mgPotassium Chloride   250 mg,10 Tablet,4
1480,Aspirin   10 mgFrusemide (Furosemide)   40 mgPotassium Chloride   500 mg,10 Tablet,4.88
1481,Aspirin   15 mgAmoxycillin Sodium   1500 mgDicloxacillin   1500 mg,1 Vial,35.57
1482,Furazolidone   30 mgMetronidazole   100 mgDimethicone   20 mg,30 ml,9.45
1483,Ibuprofen   100 mgParacetamol   125 mgPromethazine   2.5 mg,60 ml,13.39
1484,Ibuprofen   400 mgIbuprofen   325 mgFamotidine   20 mg,10 Tablet,8.49
1485,Ibuprofen   400 mgParacetamol   500 mgRacemethionine   50 mg,20 Tablet,16
1486,Ibuprofen   100 mgAcetaminophen   162.5 mgSimethicone   50 mg,50 ml,10.06
1487,Ibuprofen   400 mgParacetamol   325 mgTizanidine   2 mg,10 Capsule,35.36
1488,Ibuprofen   400 mgParacetamol   333 mgCaffeine   25 mg,10 Tablet,6.06
1489,Glipizide   5 mgMetformin   500 mgPioglitazone   15 mg,10 Tablet,25.2
1490,Furazolidone   30 mgMetronidazole   100 mgSimethicone   20 mg,60 ml,10.18
1491,Betamethasone   0.1% w/vGentamicin   0.3% w/vBenzalkonium Chloride   2% w/v,5 ml,7.92
1492,Betamethasone   0.064% w/wGentamicin   0.1% w/wClotrimazole   1% w/w,18 gm,10.42
1493,Famotidine   20 mgMagaldrate   400 mgOxetacaine   5 mg,140 Tablet,171.5
1494,Betamethasone   0.12% w/wNeomycin   0.5% w/wMiconazole   2% w/w,10 gm,10.86
1495,Etophylline   100 mgDextromethorphan   10 mgTriprolidine   1.25 mg,100 ml,18.85
1496,Betamethasone   0.064% w/wNeomycin   0.5% w/wClotrimazole   1% w/w,10 gm,7.89
1497,Etophylline   50 mgSalbutamol   1 mgGlyceryl Guaiacol Ether   50 mg,100 ml,13.1
1498,Betamethasone   0.05% w/wGentamicin   0.10% w/wClotrimazole   1% w/w,18 gm,11.16
1499,Betamethasone   0.64 mgGentamicin   1 mgClotrimazole   10 mg,20 gm,10.62
1500,Betamethasone   0.05% w/wGentamicin   0.1% w/wTolnaftate   0.1% w/w,5 gm,5.1
1501,Betamethasone   0.06% Salicylic Acid   3% ,30 ml,13.18
1502,Betamethasone   0.025% w/wGentamicin   0.050% w/wMiconazole Nitrate   1% w/w,15 gm,8.54
1503,Betamethasone   0.12% w/wGentamicin   0.1% w/wMiconazole Nitrate   2% w/w,30 gm,24.54
1504,Betamethasone   0.064% w/wGentamicin   0.05% w/wMiconazole Nitrate   1% w/w,10 gm,7.4
1505,Betamethasone   0.064% w/wGentamicin   0.1% w/wMiconazole Nitrate   2% w/w,15 gm,9.56
1506,Betamethasone   0.1% w/wGentamicin   0.1% w/wMiconazole Nitrate   2% w/w,10 gm,8.36
1507,Betamethasone   0.025% w/wGentamicin   0.1% w/wEconazole Nitrate   0.1% w/w,10 gm,6.3
1508,Betamethasone   0.1% w/wGentamicin   0.2% w/wIodochlorohydroxyquinoline   2% w/w,5 gm,5.97
1509,Betamethasone   0.064% w/wSalicylic Acid   3% w/wLactic Acid Bacillus   3% w/w,20 gm,10.97
1510,Betamethasone   0.064% w/wSalicylic Acid   6% w/wLactic Acid Bacillus   3% w/w,20 gm,11.1
1511,Betamethasone   0.0125%  w/wChlorocresol   0.1% w/w,5 gm,4.44
1512,Betamethasone   0.05% Neomycin   0.50% Chlorcresol   0.10% ,17 gm,9.06
1513,Betamethasone   0.05% w/wGentamicin   0.1% w/wMiconazole Nitrate   2% w/w,20 gm,10.72
1514,Betamethasone   0.05% Gentamicin   0.10% Chlorcresol   0.10% ,17 gm,9.95
1515,Betamethasone   0.05% w/wClotrimazole   1% w/wChlorocresol   0.1% w/w,9 gm,7.51
1516,Betamethasone   0.05% w/wGentamicin   0.1% w/wClotrimazole   1% w/w,8 gm,6.32
1517,Betamethasone   0.05% w/wZinc Sulphate   0.5% w/wChlorocresol   0.1% w/w,5 gm,5.02
1518,Betamethasone   0.05% w/wFusidic Acid   2% w/wChlorocresol   0.1% w/w,10 gm,23.7
1519,Betamethasone   0.5 mgMethyl hydroxy benzoate   0.06% w/wPropyl hydroxy benzoate   0.03% w/w,15 ml,10.85
1520,Betamethasone   0.05% w/vClotrimazole   1% w/vChlorocresol   0.10% w/v,7 gm,6.4
1521,Betamethasone Valerate   0.12% Gentamicin   0.10% Miconazole Nitrate   2% ,30 gm,27.85
1522,Betamethasone Valerate   0.12% w/wChlorocresol   0.1% w/wClioquinol   0.05% w/w,15 gm,14.1
1523,Betamethasone Valerate   0.12% w/wChlorocresol   0.1% w/wMiconazole Nitrate   2% w/w,20 gm,17.26
1524,Betamethasone   0.05% w/wSalicylic Acid   3.5% w/wZinc Oxide   0.5% w/w,5 gm,5.04
1525,Betamethasone   0.064% w/wSalicylic Acid   3.5% w/wZinc Oxide   0.5% w/w,15 gm,8.94
1526,Betamethasone   0.064% w/wSalicylic Acid   3.5% w/wZinc Sulphate   0.5% w/w,30 gm,14.5
1527,Betamethasone   0.064% w/wGentamicin Sulphate   0.05% w/wNeomycin   0.5% w/w,16 gm,9.8
1528,Betamethasone Valerate   0.12% w/wMiconazole Nitrate   2% w/wNeomycin   0.5% w/w,10 gm,10.63
1529,Pseudoephedrine   80 mgChlorpheniramine Maleate   2 mgBromhexine   4 mg,50 ml,12.04
1530,Pseudoephedrine   120 mgLevocetirizine   5 mgPropylene Glycol   10% ,10 Capsule,12.07
1531,Ciprofloxacin   0.3% w/vBenzalkonium Chloride   0.02% w/vMethyl Cellulose   0.25% w/v,10 ml,8.88
1532,Ciprofloxacin   0.3% w/wDexamethasone   0.1% w/wBenzalkonium Chloride   0.025% w/w,5 gm,5.5
1533,Ciprofloxacin   0.3% w/vDexamethasone   0.05% w/vBoric Acid   1.5% w/v,10 ml,9.54
1534,Ciprofloxacin   400 mgTinidazole   600 mgLactic Acid Bacillus   60 million spores,10 Tablet,15.98
1535,Ephedrine   20 mgTheophylline   125 mgBromhexine   8 mg,10 Tablet,3.3
1536,Cloxacillin   250 mgAmpicillin   250 mgLactic Acid Bacillus   70 million spores,10 Capsule,20.36
1537,Ephedrine   15 mgTheophylline   50 mgSodium Iodide   25 mg,50 ml,10.66
1538,Pseudoephedrine   15 mgParacetamol   125 mgCetirizine   2 mg,60 ml,13.56
1539,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgMenthol   1 mg,50 ml,10.41
1540,Cloxacillin   125 mgAmpicillin   125 mgLactic Acid Bacillus   30 million spores,10 Tablet,10.1
1541,Cloxacillin   125 mgAmpicillin   125 mgLactic Acid Bacillus   60 million spores,10 Tablet,17.26
1542,Cloxacillin Sodium   500 mgCefixime   100 mgLactic Acid Bacillus   45 million,10 Tablet,64.88
1543,Cloxacillin   250 mgCefixime   50 mgLactic Acid Bacillus   30 million spores,10 Tablet,29.8
1544,Pseudoephedrine   30 mgParacetamol   125 mgTriprolidine   0.625 mg,50 ml,11.32
1545,Cloxacillin   250 mgAmpicillin   250 mgLactic Acid Bacillus   20 million spores,10 Capsule,17.62
1546,Cloxacillin   250 mgAmpicillin   250 mgLactic Acid Bacillus   90 million spores,10 Capsule,17.32
1547,Pseudoephedrine   30 mgChlorpheniramine Maleate   1 mgParacetamol   125 mg,50 ml,10.22
1548,Pseudoephedrine   80 mgBromhexine   4 mgChlorpheniramine Maleate   2 mg,100 ml,17.8
1549,Cloxacillin Sodium   500 mgCefpodoxime Proxetil   200 mgLactic Acid Bacillus   90 million spores,10 Tablet,139.54
1550,Pseudoephedrine   25 mgParacetamol   500 mgLevocetirizine   10 mg,10 Tablet,7.41
1551,Cloxacillin   250 mgAmoxycillin   250 mgSerratiopeptidase   10 mg,10 Capsule,24.52
1552,Pseudoephedrine   15 mgAcetaminophen   125 mgChlorpheniramine Maleate   2 mg,50 ml,8.54
1553,Pseudoephedrine   15 mgChlorpheniramine Maleate   1 mgAcetaminophen   125 mg,50 ml,11.45
